"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
1,240,"Handschwengelpumpe [abgebaut]",Reudnitz-Thonberg,"Albert-Schweitzer-Straße 8",5133198,1240402,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Oststraße","abgebaut [Anke]",,,09299205,
2,15,Handschwengelpumpe,Zentrum-West,Alexanderstraße,513397909,123629469,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte aus Granit (Typ Gotik)","wahrscheinlich abgebaut",,,09292747,
3,168,"Handschwengelpumpe [Torso]",Neulindenau,"Alte Salzstraße",5132656,1232058,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Thüringer Straße (Typ K)","wahrscheinlich abgebaut",,,09294883,
4,107,Handschwengelpumpe,Südvorstadt,"Arndtstraße 60 (andere Straßenseite)",5132307,123780696,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 60, am Albrecht-Dürer-Platz","abgebaut [Anke] --> wäre schöner Standort",,,09294843,
5,,Handschwengelpumpe,Stötteritz,"Arnoldstraße 16 (andere Straßenseite)",513215967,124187388,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte, zwischen Weiße- u. Ferdinand-Jost-Straße","Standort nicht gefunden, wahrscheinlich gar nicht mehr vorhanden (jetzt Straßenbahnhaltestelle) [Anke]",,,09304112,
6,230,"Handschwengelpumpe [abgebaut]",Südvorstadt,August-Bebel-Straße,5131900,1236888,"1910 (Handschwengelpumpe)","gusseiserne Handschwengelpumpe und Abdeckplatte vor Nr. 61 (Typ Großer Löwe<Fragezeichen>)","wahrscheinlich abgebaut",,,09295749,
7,83,Handschwengelpumpe,Zentrum-Südost,"Auguste-Schmidt-Straße 10",513357525,123820871,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte schräg gegenüber Nr. 10","abgebaut [Anke]",,,09299200,
8,146,"Handschwengelpumpe [Torso]",Volkmarsdorf,Bautzmannstraße,5134477,12417002,,"Sockel einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Eisenbahnstraße 156 (Typ Gotik)","wahrscheinlich abgebaut",,,09294858,
9,,Handschwengelpumpe,Zentrum-Südost,"Bayrischer Platz",5133017,123803878,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte auf dem Vorplatz am Bayrischen Bahnhof (zur Straße des 18. Oktober; neben dem Portikus)","Standort nicht gefunden [Anke]",,,09297306,
10,183,"Handschwengelpumpe [Torso]",Volkmarsdorf,Bennigsenstraße,5134563,1241403,,"Torso einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 1 (Typ Delphin)",,,,09294652,
"11, 12,  13","284, 285, 286","Drei Handschwengelpumpen",Eutritzsch,"Berliner Straße 125-127",5136050,1239653,,"Drei Handschwengelpumpen mit Brunnenschacht und Abdeckplatte; eine Pumpe Typ Gotik",,,,09263808,
14,264,"Handschwengelpumpe [rekonstruiert]",Südvorstadt,"Bernhard-Göring-Straße 104 (andere Straßenseite)",5131674,1237674,"nach 1908 (Handschwengelpumpe)","gusseiserne Handschwengelpumpe gegenüber von Bernhard-Göring-Straße 104, in Ecklage Fichtestraße (Typ Kleiner Löwe)",,"10.8.21 (erfolglos)",,09295456,node/2633989803
15,150,"Handschwengelpumpe [Torso]",Anger-Crottendorf,Bernhardstraße,5133839,1240911,,"Torso einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 7 (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294859,
16,266,"Handschwengelpumpe [abgebaut]",Möckern,Blücherstraße,5136812,1234889,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 1 in Ecklage Huygensstraße, 2013 Pumpe rekonstruiert und versetzt vor Huygensstraße 3 (Typ Kleiner Löwe)","wahrscheinlich abgebaut",,,09294852,
17,194,Handschwengelpumpe,Lößnig,"Bornaische Straße",512954422,123861883,"um 1900 (Handschwengelpumpe)","gusseiserne Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Höhe Raschwitzer Straße (Typ Delphin)","Standort wahrscheinlich nicht mehr vorhanden",,,09296179,
18,270,"Handschwengelpumpe [rekonstruiert]",Connewitz,"Bornaische Straße 3c",5130948,123746,"1910 (Handschwengelpumpe)","Gusseiserne Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Großer Löwe); Wiederaufstellung nach Sanierung 30. August 2000",,"10.8.21 (erfolglos)",,09296343,node/2633989778
19,151,Handschwengelpumpe,Anger-Crottendorf,"Borsdorfer Straße",5133530,1241111,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Gotik) sowie Kleinpflaster und Granitschwellen der kleinen Verkehrsinsel in Ecklage Theodor-Neubauer-Straße","abgebaut [Anke] --> wäre schöner Standort",,,09299206,
20,119,"Stumpf einer Handschwengelpumpe [abgebaut]",Südvorstadt,Brandvorwerkstraße,5132240,1236776,"nach 1877 (Handschwengelpumpe)","Stumpf einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Höhe Alfred-Kästner-Straße 9 (Typ Gotik)","wahrscheinlich abgebaut",,,09295648,
21,,Handschwengelpumpe,Gohlis-Mitte,"Breitenfelder Straße",513716105,123638635,,"Handschwengelpumpe und Brunnenschacht und Abdeckplatte in Ecklage, an einer kleinen Grünanlage",,,,09297314,
22,206,Handschwengelpumpe,Reudnitz-Thonberg,"Breitkopfstraße 12 (andere Straßenseite)",5133661,123987117,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 12 in Ecklage Täubchenweg","abgebaut [Anke] ",,,09263857,
23,26,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Brühl 18",5134300,123749,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor dem Romanushaus",betriebsbereit,,,09291088,
24,221,Handschwengelpumpe,Sellerhausen-Stünz,Bruhnsstraße,5134114,1242957,"nach 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Plaußiger Straße (Typ Abart Kleiner Löwe)","wahrscheinlich nur alter Torso vorhanden",,,09294846,
25,261,Handschwengelpumpe,Dölitz-Dösen,Bürgerstraße,5128800,1239255,"um 1910 (Handschwengelpumpe)","gusseiserne Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Nähe Einmündung Bornaische Straße (Typ Kleiner Löwe)","wahrscheinlich abgebaut",,,09296178,node/2633989757
